,artists,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
834,jp saxe,if the world was ending (feat. julia michaels),0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461,2
835,ed sheeran,galway girl,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,2
836,carly rae jepsen,call me maybe,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552,2
837,bruno mars,locked out of heaven,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,0
838,dua lipa,new rules,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,2
839,walk the moon,shut up and dance,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13,1
840,adele,someone like you,0.715,0.423,7,-12.663,0,0.0306,0.62,0.0,0.568,0.596,98.623,4
841,shawn mendes,in my blood,0.569,0.896,3,-9.068,1,0.0634,0.0602,0.31,0.0723,0.711,137.292,2
842,zara larsson,lush life,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436,2
843,zayn,pillowtalk,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414,4
844,katy perry,firework,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113,2
845,ed sheeran,castle on the hill,0.539,0.406,0,-6.225,1,0.0261,0.351,5.1e-06,0.161,0.376,135.923,0
846,avicii,the nights,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,0
847,maroon 5,animals,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,2
848,ariana grande,into you,0.446,0.92,9,-4.228,1,0.183,0.754,0.0514,0.239,0.656,203.034,1
849,kelly clarkson,stronger (what doesn't kill you),0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987,1
850,adele,send my love (to your new lover),0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,0
851,the wanted,glad you came,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,2
852,katy perry,roar,0.619,0.472,3,-11.999,0,0.0296,0.293,0.0,0.168,0.777,119.569,4
853,lauv,i'm so tired...,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,2
854,alessia cara,"how far i'll go - from ""vaiana""",0.574,0.542,7,-11.578,1,0.0657,0.212,0.000117,0.0645,0.977,129.646,2
855,the chainsmokers,paris,0.502,0.333,7,-10.914,1,0.0264,0.699,0.0,0.222,0.729,96.982,0
856,maggie lindemann,pretty girl - cheat codes x cade remix,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,1
857,taylor swift,bad blood,0.259,0.241,2,-15.955,1,0.042,0.554,6.62e-06,0.0849,0.275,178.453,1
858,katy perry,teenage dream,0.535,0.797,3,-7.533,1,0.0459,0.48,3.42e-05,0.141,0.613,148.835,2
859,adele,rolling in the deep,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,1
860,ed sheeran,shape of you,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,2
861,sam smith,dancing with a stranger (with normani),0.396,0.286,6,-11.494,0,0.0283,0.548,8.51e-06,0.122,0.605,105.289,4
862,ariana grande,no tears left to cry,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768,0
863,alicia keys,girl on fire,0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,2
864,zedd,stay,0.352,0.3,8,-9.282,1,0.0301,0.413,0.0,0.1,0.295,58.686,0
865,martin garrix,scared to be lonely,0.515,0.496,4,-7.446,1,0.0324,0.265,0.0,0.182,0.651,153.582,2
866,taylor swift,you need to calm down,0.733,0.579,7,-8.442,1,0.033,0.573,2.11e-05,0.113,0.963,122.729,2
867,hailee steinfeld,starving,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609,2
868,lukas graham,love someone,0.661,0.557,4,-8.244,1,0.049,0.262,0.0,0.0557,0.957,125.445,2
869,ariana grande,7 rings,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042,2
870,sam smith,how do you sleep?,0.408,0.436,0,-7.712,1,0.0345,0.805,1.72e-06,0.305,0.474,175.024,1
871,kygo,it ain't me (with selena gomez),0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,2
872,p!nk,just give me a reason,0.605,0.837,7,-10.059,1,0.114,0.754,4.11e-05,0.3,0.93,157.225,1
873,joel adams,please don't go,0.615,0.815,5,-7.128,1,0.0373,0.475,0.0,0.0964,0.765,150.733,2
874,ava max,sweet but psycho,0.525,0.52,7,-11.725,1,0.0271,0.538,0.00569,0.111,0.523,112.554,0
875,david guetta,without you (feat. usher),0.708,0.545,6,-7.376,1,0.0502,0.648,0.0,0.121,0.935,135.241,2
876,bebe rexha,meant to be (feat. florida georgia line),0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643,2
877,jonas blue,perfect strangers,0.628,0.593,0,-7.515,1,0.0279,0.508,0.0,0.104,0.488,114.944,2
878,zara larsson,never forget you,0.595,0.465,2,-8.412,0,0.026,0.102,0.0,0.0641,0.492,124.991,4
879,owl city,good time,0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794,1
880,the script,superheroes,0.523,0.48,3,-10.923,1,0.0492,0.214,0.0,0.0751,0.81,151.4,2
881,maroon 5,what lovers do (feat. sza),0.602,0.633,9,-9.756,1,0.0314,0.502,0.0,0.0614,0.931,98.995,2
882,jp cooper,september song,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,2
883,charlie puth,marvin gaye (feat. meghan trainor),0.822,0.332,1,-11.369,1,0.0506,0.834,0.0,0.11,0.834,110.802,0
884,dj snake,let me love you,0.593,0.354,9,-10.269,1,0.0288,0.733,0.0,0.527,0.793,124.63,0
885,bruno mars,that's what i like,0.604,0.51,11,-9.323,0,0.0544,0.903,2.19e-05,0.71,0.916,124.012,4
886,cheat codes,no promises (feat. demi lovato),0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721,2
887,martin garrix,in the name of love,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494,1
888,alec benjamin,let me down slowly,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898,2
889,major lazer,cold water (feat. justin bieber & mø),0.431,0.678,4,-7.945,1,0.0365,0.7,6.37e-06,0.199,0.633,135.919,2
890,p!nk,try,0.467,0.783,8,-5.207,1,0.0528,0.139,0.0214,0.08,0.591,160.841,2
891,lady gaga,always remember us this way,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515,1
892,david guetta,titanium (feat. sia),0.374,0.991,9,-1.101,1,0.0813,0.38,0.000719,0.0929,0.51,95.105,2
893,maroon 5,cold (feat. future),0.512,0.658,1,-9.972,0,0.0607,0.232,0.0,0.108,0.752,129.861,4
894,ariana grande,break free,0.574,0.364,11,-9.672,0,0.0365,0.915,9.98e-06,0.137,0.398,112.094,4
895,rita ora,your song,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,0
896,sia,chandelier,0.605,0.455,5,-8.903,0,0.0301,0.595,0.0,0.0816,0.678,106.825,4
897,jonas blue,mama,0.546,0.818,0,-4.89,1,0.031,0.0487,0.0,0.0983,0.756,138.561,2
898,james tw,when you love someone,0.563,0.441,4,-9.902,1,0.0437,0.773,0.0,0.351,0.468,115.168,0
899,lady gaga,bad romance,0.528,0.482,9,-10.939,0,0.027,0.614,0.0,0.549,0.788,95.82,4
